date,first,last,addr,city,st,zip,prod_id,prod_desc,unit_price,qty,total
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,509,Clamp,299,2,598
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,504,Screw,50,1,50
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,505,Bolt,100,2,200
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,513,Hammer,827,1,827
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,508,Bradawl,199,1,199
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,503,Nut,25,2,50
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,526,Wire,3700,1,3700
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,511,Chisel,499,1,499
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,514,Plane,1099,1,1099
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,521,Drill,6900,1,6900
2016-02-01 13:35:00,Rabe,Hunt,7682 Magnolia Court,Clyde,OH,43410,528,Ladder,8000,1,8000
2016-02-01 16:10:00,C-3Po,Greene,5014 Beechwood Drive,Las Vegas,NV,89143,502,Nail,25,2,50
2016-02-01 16:10:00,C-3Po,Greene,5014 Beechwood Drive,Las Vegas,NV,89143,522,Hacksaw,1998,1,1998
2016-02-01 16:10:00,C-3Po,Greene,5014 Beechwood Drive,Las Vegas,NV,89143,504,Screw,50,1,50
2016-02-01 16:10:00,C-3Po,Greene,5014 Beechwood Drive,Las Vegas,NV,89143,501,Washer,10,2,20
2016-02-01 16:10:00,C-3Po,Greene,5014 Beechwood Drive,Las Vegas,NV,89143,514,Plane,1099,1,1099
