date,first,last,addr,city,st,zip,prod_id,prod_desc,unit_price,qty,total
2019-04-01 10:19:00,Snap,Garza,9534 9th Street,Strong,ME,04983,520,Anvil,1620,1,1620
2019-04-01 13:59:00,Captain Antilles,Garza,1372 9th Street,Lane,SD,57358,520,Anvil,1620,1,1620
2019-04-01 14:36:00,Bib Fortuna,Walker,6829 2nd Street,New York,NY,10177,506,Sandpaper,300,1,300
2019-04-01 14:36:00,Bib Fortuna,Walker,6829 2nd Street,New York,NY,10177,512,Scraper,799,2,1598
2019-04-01 14:36:00,Bib Fortuna,Walker,6829 2nd Street,New York,NY,10177,503,Nut,25,1,25
2019-04-01 14:36:00,Bib Fortuna,Walker,6829 2nd Street,New York,NY,10177,510,Screwdriver,399,1,399
2019-04-01 14:36:00,Bib Fortuna,Walker,6829 2nd Street,New York,NY,10177,513,Hammer,827,1,827
2019-04-01 14:36:00,Bib Fortuna,Walker,6829 2nd Street,New York,NY,10177,502,Nail,25,1,25
2019-04-01 14:36:00,Bib Fortuna,Walker,6829 2nd Street,New York,NY,10177,525,Hatchet,3599,2,7198
2019-04-01 14:36:00,Bib Fortuna,Walker,6829 2nd Street,New York,NY,10177,501,Washer,10,1,10
2019-04-01 16:18:00,Snap,Miller,2240 3rd Street,Philipp,MS,38950,506,Sandpaper,300,2,600
2019-04-01 16:18:00,Snap,Miller,2240 3rd Street,Philipp,MS,38950,522,Hacksaw,1998,2,3996
2019-04-01 16:18:00,Snap,Miller,2240 3rd Street,Philipp,MS,38950,507,Paint,1800,1,1800
2019-04-01 16:18:00,Snap,Miller,2240 3rd Street,Philipp,MS,38950,513,Hammer,827,1,827
2019-04-01 16:18:00,Snap,Miller,2240 3rd Street,Philipp,MS,38950,525,Hatchet,3599,1,3599
2019-04-01 16:18:00,Snap,Miller,2240 3rd Street,Philipp,MS,38950,502,Nail,25,1,25
2019-04-01 16:18:00,Snap,Miller,2240 3rd Street,Philipp,MS,38950,515,Wrench,1100,1,1100
2019-04-01 16:44:00,Lama Su,Vincent,2114 4th Street,Ivor,VA,23866,508,Bradawl,199,1,199
2019-04-01 16:48:00,Obi-Wan,Miller,9760 Edgewood Road,Veedersburg,IN,47987,510,Screwdriver,399,2,798
2019-04-01 16:48:00,Obi-Wan,Miller,9760 Edgewood Road,Veedersburg,IN,47987,521,Drill,6900,1,6900
